,H_score,H_connected_space,accuracy,precision,recall,H_nodes,H_goodnodes,H_averageNodeDegree,AN_nodes,AN_goodDecGene,AN_nodeEdge,AN_averageDegree,G_AN_H_nodes,node_level
0,1.0,1.0,0.984,0.9568733153638814,1.0,1000.0,355.0,4.0,2000.0,25.0,50.0,5000.0,2.0,2.0
1,1.0,1.0,0.981,0.9491978609625669,1.0,1000.0,355.0,4.0,2000.0,25.0,50.0,5000.0,2.0,2.0
2,1.0,1.0,0.98,0.9466666666666667,1.0,1000.0,355.0,4.0,2000.0,25.0,50.0,5000.0,2.0,2.0
3,1.0,1.0,0.978,0.9416445623342176,1.0,1000.0,355.0,4.0,2000.0,25.0,50.0,5000.0,2.0,2.0
4,1.0,1.0,0.98,0.9466666666666667,1.0,1000.0,355.0,4.0,2000.0,25.0,50.0,5000.0,2.0,2.0
5,1.0,1.0,0.988,0.9673024523160763,1.0,1000.0,355.0,4.0,2000.0,25.0,50.0,5000.0,2.0,2.0
6,1.0,1.0,0.977,0.9391534391534392,1.0,1000.0,355.0,4.0,2000.0,25.0,50.0,5000.0,2.0,2.0
7,1.0,1.0,0.976,0.9366754617414248,1.0,1000.0,355.0,4.0,2000.0,25.0,50.0,5000.0,2.0,2.0
8,1.0,1.0,0.981,0.9491978609625669,1.0,1000.0,355.0,4.0,2000.0,25.0,50.0,5000.0,2.0,2.0
9,1.0,1.0,0.982,0.9517426273458445,1.0,1000.0,355.0,4.0,2000.0,25.0,50.0,5000.0,2.0,2.0
11,,,,,,,,,,,,,,
12,exp_times is: 10,,,,,,,,,,,,,
13,ave_score is: 1.0,,,,,,,,,,,,,
14,max_score is: 1.0,,,,,,,,,,,,,
15,min_score is: 1.0,,,,,,,,,,,,,
16,median_score is: 1.0,,,,,,,,,,,,,
17,std_score is: 0.0,,,,,,,,,,,,,
18,ave_connected_space is: 1.0,,,,,,,,,,,,,
19,ave_accuracy is: 0.9806999999999999,,,,,,,,,,,,,
20,max_accuracy is: 0.988,,,,,,,,,,,,,
21,min_accuracy is: 0.976,,,,,,,,,,,,,
22,median_accuracy is: 0.9804999999999999,,,,,,,,,,,,,
